,ent,ent_label
3328,Americans,NORP
3329,MS-13,PERSON
3330,20,CARDINAL
3331,American,NORP
3332,Just yesterday,DATE
3333,MS-13,PRODUCT
3334,New York City,GPE
3335,thousands,CARDINAL
3336,Year after year,DATE
3337,Americans,NORP
3338,Angel Moms,PERSON
3339,tonight,TIME
3340,Debra Bissell,PERSON
3341,Just three weeks ago,DATE
3342,Debra,PERSON
3343,Gerald,PERSON
3344,Sharon,PERSON
3345,Reno,GPE
3346,Nevada,GPE
3347,their eighties,DATE
3348,four,CARDINAL
3349,11,CARDINAL
3350,20,CARDINAL
3351,tonight,TIME
3352,Gerald,PERSON
3353,Sharon,PERSON
3354,Madison,PERSON
3355,Madison,PERSON
3356,Gerald,PERSON
3357,Sharon,PERSON
3358,one,CARDINAL
3359,American,NORP
3360,the last 2 years,DATE
3361,ICE,ORG
3362,"266,000",CARDINAL
3363,"nearly 100,000",CARDINAL
3364,"30,000",CARDINAL
3365,"4,000",CARDINAL
3366,tonight,TIME
3367,one,CARDINAL
3368,Elvin Hernandez,PERSON
3369,the United States,GPE
3370,the Dominican Republic,GPE
3371,the age of eight,DATE
3372,Elvin,PERSON
3373,Today,DATE
3374,Elvin,PERSON
3375,more than 300,CARDINAL
3376,"more than 1,500",CARDINAL
3377,the last year,DATE
3378,tonight,TIME
3379,ICE,ORG
3380,Congress,ORG
3381,San Diego,GPE
3382,San Diego,GPE
3383,El Paso,GPE
3384,Texas,GPE
3385,El Paso,GPE
3386,America,GPE
3387,58 percent,PERCENT
3388,the last year,DATE
3389,Americans,NORP
3390,one century,DATE
3391,Congress,ORG
3392,Constitutional,LAW
3393,Congress,ORG
3394,Thursday,DATE
3395,first,ORDINAL
3396,one,CARDINAL
3397,decades,DATE
3398,China,GPE
3399,years,DATE
3400,American,NORP
3401,$ 250 billion,MONEY
3402,Chinese,NORP
3403,Treasury,ORG
3404,billions of dollars,MONEY
3405,China,GPE
3406,Xi,PERSON
3407,China,GPE
3408,American,NORP
3409,NAFTA,ORG
3410,Michigan,GPE
3411,Ohio,GPE
3412,Pennsylvania,GPE
3413,Indiana,GPE
3414,New Hampshire,GPE
3415,NAFTA,ORG
3416,years,DATE
3417,1881.-Mexico-Canada Agreement,DATE
3418,USMCA,ORG
3419,NAFTA,ORG
3420,American,NORP
3421,American,NORP
3422,four,CARDINAL
3423,USA,GPE
3424,Tonight,TIME
3425,the United States Reciprocal Trade Act,GPE
3426,American,NORP
3427,America,GPE
3428,Congress,ORG
3429,2018,DATE
3430,46 years,DATE
3431,Americans,NORP
3432,Congress,ORG
3433,American,NORP
3434,American,NORP
3435,recent years,DATE
3436,Democrats,NORP
3437,Republicans,NORP
3438,the United States,GPE
3439,10 years,DATE
3440,America,GPE
3441,Tonight,TIME
3442,Americans,NORP
3443,Melania,GPE
3444,this evening,TIME
3445,10-year-old,DATE
3446,Grace Eline,PERSON
3447,4,DATE
3448,Grace,ORG
3449,St. Jude Children's Research Hospital,ORG
3450,Last year,DATE
3451,Grace,ORG
3452,"more than $ 40,000",MONEY
3453,Grace,PERSON
3454,last fall,DATE
3455,Last Day of Chemo,DATE
3456,decades,DATE
3457,Congress,ORG
3458,$ 500 million,MONEY
3459,the next 10 years,DATE
3460,America,GPE
3461,first,ORDINAL
3462,recent days,DATE
3463,New York,GPE
3464,Virginia,GPE
3465,Congress,ORG
3466,America,GPE
3467,National Security,ORG
3468,the last 2 years,DATE
3469,the United States Military,GPE
3470,$ 700 billion,MONEY
3471,last year,DATE
3472,$ 716 billion,MONEY
3473,this year,DATE
3474,years,DATE
3475,the United States,GPE
3476,NATO,ORG
3477,$ 100 billion,MONEY
