,ent,ent_label
1090,the 24th of June,DATE
1091,the United States,GPE
1092,France,GPE
1093,second,ORDINAL
1094,the 6th of May,DATE
1095,Congress,ORG
1096,French,NORP
1097,French,NORP
1098,American,NORP
1099,Senate,ORG
1100,the United States,GPE
1101,British,NORP
1102,the West Indies,GPE
1103,colonies,GPE
1104,the United States,GPE
1105,the British Parliament,ORG
1106,the 24th of June last,DATE
1107,first,ORDINAL
1108,the 24th of August,DATE
1109,the United States,GPE
1110,Congress,ORG
1111,Great Britain,GPE
1112,Congress,ORG
1113,British,NORP
1114,the West Indies,GPE
1115,Parliament,ORG
1116,Congress,ORG
1117,the United States,GPE
1118,Parliament,ORG
1119,the United States,GPE
1120,Congress,ORG
1121,Senate,ORG
1122,France,GPE
1123,the United States,GPE
1124,British,NORP
1125,France,GPE
1126,Great Britain,GPE
1127,Imperial Majesty the Emperor of,ORG
1128,Russia,GPE
1129,the United States,GPE
1130,Great Britain,GPE
1131,first,ORDINAL
1132,Imperial Majesty,ORG
1133,Senate,ORG
1134,Congress,ORG
1135,Florida,GPE
1136,ninth,ORDINAL
1137,Spain,GPE
1138,the United States,GPE
1139,Spanish,NORP
1140,Spanish,NORP
1141,Florida,GPE
1142,Congress,ORG
1143,Pensacola,ORG
1144,the year,DATE
1145,Congress,ORG
1146,Treasury,ORG
1147,the three first quarters of the year,DATE
1148,$ 14.745 million,MONEY
1149,Treasury,ORG
1150,$ 12.279 million,MONEY
1151,Treasury,ORG
1152,the 30th day of September,DATE
1153,"1,168,592.24",MONEY
1154,Treasury,ORG
1155,the first day of January,DATE
1156,$ 4.128 million,MONEY
