,ent,ent_label
780,Christian,NORP
781,an early period,DATE
782,the present century,DATE
783,Indians,NORP
784,Congress,ORG
785,Georgia,GPE
786,one,CARDINAL
787,Ohio,GPE
788,Indiana,GPE
789,Illinois,GPE
790,Missouri,GPE
791,Mississippi,GPE
792,Alabama,GPE
793,Congress,ORG
794,Indian,NORP
795,Indian,NORP
796,Indian,NORP
797,Congress,ORG
798,Indian,NORP
799,Indian,NORP
800,Congress,ORG
801,Indians,NORP
802,Indians,NORP
803,Indians,NORP
804,Indian,NORP
805,Indians,NORP
806,Congress,ORG
807,Presidents Washington,ORG
808,Jefferson,GPE
809,Madison,PERSON
810,Monroe,PERSON
811,Constitution,LAW
812,Congress,ORG
813,American,NORP
814,one,CARDINAL
815,the United States,GPE
816,first,ORDINAL
817,the Treasury Department,ORG
818,Treasury,ORG
819,the present year,DATE
820,"24,161,018",MONEY
821,"about $ 300,000",MONEY
822,annual,DATE
823,Treasury,ORG
824,the year,DATE
825,"13,742,311",MONEY
826,"11,354,630",MONEY
827,Treasury,ORG
828,"4,819,781",MONEY
829,the Treasury Department,ORG
830,The Revenue Cutter Service,ORG
831,the General Land Office,ORG
832,the War Department,ORG
833,Army,ORG
834,Indian,NORP
835,Congress,ORG
836,Navy,ORG
837,the present year,DATE
838,Europe,LOC
839,Congress,ORG
840,a few years,DATE
841,Navy,ORG
842,the Postmaster General,ORG
843,the Post Office Department,ORG
844,the present year,DATE
845,annual,DATE
846,"72,000",MONEY
847,a few years past,DATE
848,Congress,ORG
849,the United States,GPE
850,Solicitor of the Treasury,ORG
851,the United States,GPE
852,Treasury,ORG
853,one,CARDINAL
854,daily,DATE
855,Congress,ORG
856,last year,DATE
857,Congress,ORG
858,the District of Columbia,GPE
859,Constitution,LAW
860,Congress,ORG
861,District,GPE
862,Potomac,NORP
863,Maryland,GPE
864,Virginia,GPE
865,Congress,ORG
866,Congress,ORG
867,Territories,LOC
868,the United States,GPE
869,one,CARDINAL
870,the Bank of the United States,ORG
871,Congress,ORG
872,Bank of the United States,ORG
873,the Treasury Department,ORG
874,the Bank of the United States,ORG
875,Congress,ORG
876,Senate,ORG
877,the United States,GPE
878,15th,ORDINAL
879,Senate,ORG
880,Indian,NORP
881,"the 30th of March, 1802",DATE
882,the United States Government,GPE
883,Senate,ORG
884,Indian,NORP
885,Executive,ORG
886,Indians,NORP
887,the United States,GPE
888,the United States,GPE
889,Indian,NORP
890,nineteenth,ORDINAL
891,Indians,NORP
892,the United States,GPE
893,States,GPE
894,Indian,NORP
895,State,ORG
896,the State of Georgia,GPE
897,State,ORG
898,Indian,NORP
899,first,ORDINAL
900,Constitution,LAW
901,Congress,ORG
902,the Federal Government,ORG
903,Indian,NORP
904,the Articles of Confederation,ORG
905,Indians,NORP
906,States,GPE
907,As early as the year 1782,DATE
908,the Journals of Congress,ORG
909,that year,DATE
910,Indians,NORP
911,South Carolina,GPE
912,State,ORG
913,Congress,ORG
914,South Carolina,GPE
915,Congress,ORG
916,the Articles of Confederation,ORG
917,States,GPE
918,Indians,NORP
919,State,ORG
920,the Articles of Confederation,ORG
921,Congress,ORG
922,1783,DATE
923,The United States,GPE
924,Congress,ORG
925,Indians,NORP
926,State,ORG
927,Congress,ORG
928,Indian,NORP
929,States,GPE
930,the General Government,ORG
931,Indians,NORP
932,States,GPE
933,the Articles of Confederation,ORG
934,the General Government,ORG
935,Constitution,LAW
936,Constitution,LAW
937,Congress,ORG
938,Indian,NORP
939,Congress,ORG
940,States,GPE
941,States,GPE
942,States,GPE
943,Constitution,LAW
944,Indians,NORP
945,State,ORG
946,State,ORG
947,Indians,NORP
948,the Federal Government,ORG
949,the States of New England,GPE
950,Indians,NORP
951,States,GPE
952,1789,DATE
953,1802,DATE
954,the State of New York,GPE
955,the United States,GPE
956,State,ORG
957,Southern States,LOC
958,As early as 1784,DATE
959,North Carolina,GPE
960,State,ORG
961,Indians,NORP
962,that quarter,DATE
963,The United States,GPE
964,first,ORDINAL
965,1785,DATE
966,1790,DATE
967,Cherokees,ORG
968,the United States,GPE
969,Indians,NORP
970,Indians,NORP
971,States,GPE
972,the Federal Government,ORG
973,Indians,NORP
974,States,GPE
975,States,GPE
976,Indians,NORP
977,Indians,NORP
978,State,ORG
979,Congress,ORG
980,Constitution,LAW
981,States,GPE
982,Executive,ORG
983,States,GPE
984,Indians,NORP
985,States,GPE
986,the War Department,ORG
987,"September, 1814",DATE
988,Indians,NORP
989,Choctaws,ORG
990,Indians,NORP
991,Constitution,LAW
992,Congress,ORG
993,Indian,NORP
994,Congress,ORG
995,Congress,ORG
996,Indian,NORP
997,1802,DATE
998,States,GPE
999,South Carolina,GPE
1000,Indians,NORP
1001,the General Government,ORG
1002,South,LOC
1003,Georgia,GPE
1004,1783,DATE
1005,nineteenth,ORDINAL
1006,1802,DATE
1007,South,LOC
1008,Southwest,LOC
1009,the United States,GPE
1010,States,GPE
1011,State,ORG
1012,Alabama,GPE
1013,Mississippi,GPE
1014,Years,DATE
1015,States,GPE
1016,the Federal Government,ORG
1017,West,LOC
1018,State,ORG
1019,the United States,GPE
1020,year,DATE
1021,State,ORG
1022,Union,ORG
1023,two,CARDINAL
1024,War,EVENT
1025,Georgia Fellow,ORG
1026,Senate,ORG
1027,House of Representatives,ORG
1028,22nd,ORDINAL
1029,Constitution,LAW
1030,half a century,DATE
1031,annual,DATE
1032,Providence,GPE
1033,first,ORDINAL
1034,every year,DATE
1035,weeks,DATE
1036,a few days,DATE
1037,Providence,GPE
1038,"3,000,000 to 13,000,000",CARDINAL
1039,13,CARDINAL
1040,24,CARDINAL
1041,annual,DATE
1042,England,GPE
1043,France,GPE
1044,Spain,GPE
1045,Holland,GPE
1046,Sweden,GPE
1047,Denmark,GPE
1048,Naples,GPE
1049,Portugal,GPE
1050,England,GPE
1051,two,CARDINAL
1052,One,CARDINAL
1053,Congress,ORG
1054,1831,DATE
1055,"30,000 tons",QUANTITY
1056,American,NORP
1057,"15,000 tons",QUANTITY
1058,American,NORP
1059,"20,000",CARDINAL
1060,Canada,GPE
1061,the St. Lawrence,ORG
1062,the West Indies,GPE
1063,colonies,GPE
1064,Great Britain,GPE
1065,the United States,GPE
1066,British,NORP
1067,Canada,GPE
1068,New Brunswick,GPE
1069,North,LOC
1070,East,LOC
1071,Great Britain,GPE
1072,Senate,ORG
1073,American,NORP
1074,British,NORP
1075,fifth,ORDINAL
1076,the King of the Netherlands,WORK_OF_ART
1077,Britannic Majesty,PERSON
1078,Netherlands,GPE
1079,the United States,GPE
1080,Great Britain,GPE
1081,American,NORP
1082,Maine,GPE
1083,Britannic Majesty,PERSON
1084,the United States,GPE
1085,Great Britain,GPE
1086,Great Britain,GPE
1087,the Court of London,ORG
1088,two,CARDINAL
1089,Congress,ORG
1090,France,GPE
1091,Senate,ORG
1092,French,NORP
1093,French,NORP
1094,French,NORP
