,ent,ent_label
762,"more than 2,000 miles an hour",QUANTITY
763,"70,000 feet",QUANTITY
764,A-11,PRODUCT
765,today,DATE
766,A-11,PRODUCT
767,Edwards Air force Base,FAC
768,California,GPE
769,today,DATE
770,thousands of miles,QUANTITY
771,A-11,PRODUCT
772,Edwards Air force Base,FAC
773,A-11,PRODUCT
774,one,CARDINAL
775,more than three,CARDINAL
776,1959,DATE
777,Senate,ORG
778,House,ORG
779,the day,DATE
780,The Lockheed Aircraft Corporation,ORG
781,Burbank,GPE
782,Calif.,GPE
783,the United Aircraft Corporation,ORG
784,A-11,PRODUCT
785,the Hughes Aircraft Company,ORG
786,A-11,PRODUCT
787,today,DATE
788,Salinger,PERSON
789,Monday,DATE
790,Eugene Black,PERSON
791,Osborne,PERSON
792,December,DATE
793,Q.,ORG
794,Florida,GPE
795,J. Edgar Hoover,PERSON
796,the Secret Service,ORG
797,Bobby Baker,PERSON
798,Senate,ORG
799,Senate,ORG
800,South Viet-Nam,GPE
801,North Viet-Nam,GPE
802,McNamara,PERSON
803,Saigon,GPE
804,Viet-Nam,ORG
805,the next few days,DATE
806,Viet-Nam,GPE
807,McNamara,PERSON
808,Lodge,PERSON
809,Q.,ORG
810,South Viet-Nam,GPE
811,Communist,NORP
812,China,GPE
813,the Soviet Union,GPE
814,South Vietnamese,NORP
815,Eisenhower,PERSON
816,Normandy,GPE
817,Viet-Nam,GPE
818,Q.,ORG
819,Henry Cabot Lodge,PERSON
820,South Viet-Nam,NORP
821,1960,DATE
822,Republican,NORP
823,South Viet-Nam,GPE
824,Lodge,PERSON
825,Senate,ORG
826,the United States Army,GPE
827,Senate,ORG
828,the United Nations,ORG
829,Eisenhower,PERSON
830,Kennedy,PERSON
831,Rusk,PERSON
832,Viet-Nam,ORG
833,November,DATE
834,Panama,GPE
835,May,DATE
836,Panamanians,NORP
837,Panama,GPE
838,first,ORDINAL
839,30 minutes,TIME
840,Mann,PERSON
841,One,CARDINAL
842,1903,DATE
843,1963,DATE
844,1964,DATE
845,the first day,DATE
846,Panama,GPE
847,St. Louis,GPE
848,Asia,LOC
849,Laos,GPE
850,' 62,DATE
851,the United States,GPE
852,Laos,GPE
853,today,DATE
854,The United States,GPE
855,the White House,FAC
856,the twentieth century,DATE
857,110,CARDINAL
858,120,CARDINAL
859,today,DATE
860,centuries,DATE
861,centuries,DATE
862,35 days,DATE
863,the Security Council,ORG
864,Cuban,NORP
865,100 million,CARDINAL
866,minutes,TIME
867,first hundred days,DATE
868,the 30 years,DATE
869,Washington,GPE
870,the last 3 years,DATE
871,the last hundred days,DATE
872,last November,DATE
873,Cabinet,ORG
874,Congress,ORG
875,10,CARDINAL
876,15,CARDINAL
877,the first hundred days,DATE
878,last year,DATE
879,Congress,ORG
880,Congress,ORG
881,the House of Representatives,ORG
882,some 6 or 7 months,DATE
883,United States,GPE
884,Senate,ORG
885,almost 13 months,DATE
886,the American Nation,ORG
887,the first hundred days,DATE
888,Kennedy,PERSON
889,Republican,NORP
890,next month,DATE
891,Geneva,GPE
892,the United Nations,ORG
893,more than 100,CARDINAL
894,Fulbright,PERSON
895,Richard Nixon,PERSON
896,first,ORDINAL
897,Richard Nixon,PERSON
898,next year,DATE
899,two,CARDINAL
900,Q.,ORG
901,American,NORP
902,George Ball,PERSON
903,Turkey,GPE
904,Greece,GPE
905,Great Britain,GPE
906,the United Nations,ORG
907,yesterday,DATE
908,the Commerce Department,ORG
909,Cuban,NORP
910,Paul Findley,PERSON
911,Senate,ORG
912,Keating,PERSON
913,Yesterday,DATE
914,the Commerce Department,ORG
915,a few hours,TIME
916,the Commerce Department,ORG
917,the Commerce Department,ORG
918,Jefferson,PERSON
919,daily,DATE
920,at least two,CARDINAL
921,Republicans,NORP
922,Republican,NORP
923,House,ORG
924,Senate,ORG
925,House,ORG
926,Q.,ORG
927,Viet-Nam,ORG
928,the past week,DATE
929,last weekend,DATE
930,Viet-Nam,GPE
931,Viet-Nam,ORG
932,1961,DATE
933,California,GPE
934,the far East,LOC
935,Bundy,PERSON
936,Viet-Nam,LOC
937,Lodge,PERSON
938,November,DATE
939,Hilsman,PERSON
940,Hilsman,PERSON
941,Rusk,PERSON
942,McNamara,PERSON
943,Bundy,PERSON
944,the State Department,ORG
945,Hilsman,PERSON
946,McNamara,PERSON
947,Bundy,PERSON
948,Hilsman,PERSON
949,William P. Bundy,PERSON
950,State,ORG
951,Eastern Affairs,ORG
952,Bundy,PERSON
953,Defense for International Security Affairs,ORG
954,Eastern,ORG
955,Bundy,PERSON
956,the Defense Department,ORG
957,John McNaughton,PERSON
958,the Department of Defense,ORG
959,Daniel M. Luevano,PERSON
960,California,GPE
961,Army,ORG
962,Luevano,PERSON
963,the State Department,ORG
964,California,GPE
965,Brown,PERSON
966,State,ORG
967,Clark Kerr,PERSON
968,the University of California,ORG
969,Frankie Muse,PERSON
970,the St. Louis Housing and Land Clearance Authority,ORG
971,the Civil Rights Commission,ORG
972,Missouri,GPE
973,Missouri,GPE
974,The United States,GPE
975,A-11,PRODUCT
976,"more than 2,000 miles an hour",QUANTITY
977,"70,000 feet",QUANTITY
978,A-11,PRODUCT
979,today,DATE
980,A-11,PRODUCT
981,Edwards Air force Base,FAC
982,California,GPE
983,today,DATE
984,thousands of miles,QUANTITY
985,A-11,PRODUCT
986,Edwards Air force Base,FAC
987,A-11,PRODUCT
988,one,CARDINAL
989,more than three,CARDINAL
990,1959,DATE
991,Senate,ORG
992,House,ORG
993,the day,DATE
994,The Lockheed Aircraft Corporation,ORG
995,Burbank,GPE
996,Calif.,GPE
997,the United Aircraft Corporation,ORG
998,A-11,PRODUCT
999,the Hughes Aircraft Company,ORG
1000,A-11,PRODUCT
1001,today,DATE
1002,Salinger,PERSON
1003,Monday,DATE
1004,Eugene Black,PERSON
1005,Osborne,PERSON
1006,December,DATE
1007,Q.,ORG
1008,Florida,GPE
1009,J. Edgar Hoover,PERSON
1010,the Secret Service,ORG
