,ent,ent_label
886,more than seven years,DATE
887,the Bank of the United States,ORG
888,State,ORG
889,the United States,GPE
890,Congress,ORG
891,Mint,ORG
892,Congress,ORG
893,Congress,ORG
894,Bank of the United States,ORG
895,Congress,ORG
896,one,CARDINAL
897,States,GPE
898,first,ORDINAL
899,State,ORG
900,Congress,ORG
901,Congress,ORG
902,Executive,ORG
903,Congress,ORG
904,Treasury,ORG
905,so many years,DATE
906,Constitution,LAW
907,one,CARDINAL
908,State,ORG
909,Congress,ORG
910,State,ORG
911,the General Government,ORG
912,State,ORG
913,State,ORG
914,the General Government,ORG
915,State,ORG
916,State,ORG
917,Constitution,LAW
918,this quarter,DATE
919,the General Government,ORG
920,Constitution,LAW
921,the United States,GPE
922,the General Government,ORG
923,State,ORG
924,States,GPE
925,States,GPE
926,Congress,ORG
927,the House of Representatives,ORG
928,two,CARDINAL
929,Congress,ORG
930,the United States,GPE
931,Congress,ORG
932,War,ORG
933,Army,ORG
934,the United States,GPE
935,Army,ORG
936,the past season,DATE
937,the Regular Army,ORG
938,the United States,GPE
939,one,CARDINAL
940,the Allegany Mountains,LOC
941,the United States,GPE
942,Indian,NORP
943,the War Department,ORG
944,Cherokee,PRODUCT
945,Indians,NORP
946,Mississippi,LOC
947,Congress,ORG
948,Seminoles,GPE
949,Florida,GPE
950,Choctaws,ORG
951,Pottawatamies,PRODUCT
952,Indian,NORP
953,the present year,DATE
954,Indian,NORP
955,the United States,GPE
956,Administrations,ORG
957,Indian,NORP
958,the Federal and State Governments,ORG
959,more than thirty years ago,DATE
960,Jefferson,PERSON
961,Indians,NORP
962,States,GPE
963,the United States,GPE
964,Mississippi,GPE
965,the United States,GPE
966,Administrations,ORG
967,first,ORDINAL
968,Monroe,PERSON
969,Indian,NORP
970,the Federal Government,ORG
971,Indian,NORP
972,Indian,NORP
973,Indians,NORP
974,Cherokees,ORG
975,the United States,GPE
976,"13,554,135 acres",QUANTITY
977,Mississippi,GPE
978,"only 9,492",CARDINAL
979,160 acres,QUANTITY
980,The United States,GPE
981,"5,600,000",MONEY
982,"1,160,000",MONEY
983,Miamies,ORG
984,the last year,DATE
985,Indian,NORP
986,"18,458,000 acres",QUANTITY
987,any previous year,DATE
988,Indian,NORP
989,Treasury,ORG
990,Indian,NORP
991,States,GPE
992,Territories,GPE
993,Indian,NORP
994,Senate,ORG
995,Congress,ORG
996,Indians,NORP
997,the United States,GPE
998,Indian,NORP
999,"116,349,897 acres",QUANTITY
1000,4th,ORDINAL
1001,1829,DATE
1002,the United States,GPE
1003,"72,560,056",MONEY
1004,Indians,NORP
1005,the United States,GPE
1006,the United States,GPE
1007,Indians,NORP
1008,the Federal Government,ORG
1009,Indians,NORP
1010,Indian,NORP
1011,West,LOC
1012,the United States,GPE
1013,Congress,ORG
1014,War,ORG
1015,Indians,NORP
1016,States,GPE
1017,Seminoles,GPE
1018,Indians,NORP
1019,Mississippi,LOC
1020,Four hundred,CARDINAL
1021,1836,DATE
1022,"1,500",CARDINAL
1023,1837,DATE
1024,1838,DATE
1025,"about 2,000",CARDINAL
1026,Indians,NORP
1027,Territory,PERSON
1028,Gulf,LOC
1029,Florida,GPE
1030,Seminoles,LOC
1031,The United States,GPE
1032,Indian,NORP
1033,Seminoles,GPE
1034,the United States,GPE
1035,the end of the winter,DATE
1036,War,EVENT
1037,Territory,ORG
1038,Indians,NORP
1039,Florida,GPE
1040,Navy,ORG
1041,the United States,GPE
1042,the present year,DATE
1043,any quarter,DATE
1044,Norfolk,ORG
1045,the 19th of August,DATE
1046,Madeira,GPE
1047,South America,LOC
1048,that quarter,DATE
1049,Indian,NORP
1050,China,GPE
1051,the Pacific Ocean,LOC
1052,the Gulf of Mexico,LOC
1053,Atlantic,LOC
1054,the United States,GPE
1055,Congress,ORG
1056,Navy,ORG
1057,the Post-Office Department,ORG
1058,"134,818 miles",QUANTITY
1059,annual,DATE
1060,"34,580,202 miles",QUANTITY
1061,the United States,GPE
