,ent,ent_label
8278,Libyan,NORP
8279,Europe,LOC
8280,today,DATE
8281,American,NORP
8282,Qadhafi,PERSON
8283,Qadhafi,PERSON
8284,years,DATE
8285,American,NORP
8286,American,NORP
8287,American,NORP
8288,1,CARDINAL
8289,this Oval Office,FAC
8290,tonight,TIME
8291,Article 51 of the United Nations Charter,LAW
8292,Qadhafi,PERSON
8293,tonight,TIME
8294,Qadhafi,PERSON
8295,This afternoon,TIME
8296,Congress,ORG
8297,Tonight,TIME
8298,Armed Forces,ORG
8299,Americans,NORP
8300,Qadhafi,PERSON
8301,America,GPE
8302,Earth,LOC
8303,Tonight,TIME
8304,evening,TIME
8305,the West Wing,LOC
8306,the White House,ORG
8307,tonight,TIME
8308,the West Hall,LOC
8309,the White House,ORG
8310,Nancy,PERSON
8311,America,GPE
8312,tonight,TIME
8313,America,GPE
8314,these last few years,DATE
8315,Tonight,TIME
8316,Thirty-seven,CARDINAL
8317,next year,DATE
8318,1981,DATE
8319,Last year,DATE
8320,"over 10,000",CARDINAL
8321,nearly $ 250 million,MONEY
8322,DEA,ORG
8323,the Drug Enforcement Administration,ORG
8324,4 years,DATE
8325,daily,DATE
8326,1,CARDINAL
8327,14,CARDINAL
8328,1,CARDINAL
8329,20,DATE
8330,1881,DATE
8331,67 percent,PERCENT
8332,1980,DATE
8333,4 to 5 million,CARDINAL
8334,Five hundred thousand,CARDINAL
8335,Americans,NORP
8336,One,CARDINAL
8337,twelve,CARDINAL
8338,18,CARDINAL
8339,Today,DATE
8340,Americans,NORP
8341,at least $ 60 billion,MONEY
8342,the early days,DATE
8343,Nancy,PERSON
8344,"over 100,000 miles",QUANTITY
8345,55,CARDINAL
8346,28,CARDINAL
8347,6,CARDINAL
8348,dozens,CARDINAL
8349,24,CARDINAL
8350,this evening,TIME
8351,Reagan,PERSON
8352,September,DATE
8353,a special month,DATE
8354,these last years,DATE
8355,Today,DATE
8356,the United States,GPE
8357,5 years,DATE
8358,one,CARDINAL
8359,1,CARDINAL
8360,Florida,GPE
8361,daily,DATE
8362,Only 1 month old,DATE
8363,2,CARDINAL
8364,American,NORP
8365,America,GPE
8366,Oakland,GPE
8367,California,GPE
8368,Oakland,GPE
8369,"over 10,000",CARDINAL
8370,one,CARDINAL
8371,Nancy,PERSON
8372,Last month,DATE
8373,six,CARDINAL
8374,First,ORDINAL
8375,Second,ORDINAL
8376,Third,ORDINAL
8377,fourth,ORDINAL
8378,October 1,DATE
8379,1881,DATE
8380,Fifth,ORDINAL
8381,Bush,PERSON
8382,Meese,PERSON
8383,six,CARDINAL
8384,tomorrow,DATE
8385,America,GPE
8386,$ 3 billion,MONEY
8387,America,GPE
8388,Americans,NORP
8389,America,GPE
8390,World War II,EVENT
8391,Nancy,PERSON
8392,America,GPE
8393,America,GPE
8394,America,GPE
8395,American,NORP
8396,millions,CARDINAL
8397,Holocaust,EVENT
8398,Soviet,NORP
8399,one,CARDINAL
8400,2 years ago,DATE
8401,the Normandy American Cemetery,FAC
8402,France,GPE
8403,June,DATE
8404,hundreds,CARDINAL
8405,millions,CARDINAL
8406,Americans,NORP
8407,the Lincoln Bedroom,ORG
8408,the Civil War,EVENT
8409,one,CARDINAL
8410,Lincoln,PERSON
8411,Lincoln,PERSON
8412,America,GPE
8413,Americans,NORP
8414,Tonight,TIME
8415,Reagan,PERSON
8416,Iceland,GPE
8417,the Soviet Union,GPE
8418,General,ORG
8419,Gorbachev,PERSON
8420,last year,DATE
8421,Geneva,GPE
8422,a few moments tonight,TIME
8423,Soviet,NORP
8424,American,NORP
8425,Earth,LOC
8426,1996,DATE
8427,American,NORP
8428,first,ORDINAL
8429,Gorbachev,PERSON
8430,American,NORP
8431,American,NORP
8432,Iceland,GPE
8433,two,CARDINAL
8434,one,CARDINAL
8435,thousand,CARDINAL
8436,ABM,LAW
8437,ABM,ORG
8438,Some years ago,DATE
8439,the United States,GPE
8440,the Soviet Union,GPE
8441,first,ORDINAL
8442,thousands,CARDINAL
8443,Soviets,NORP
8444,Moscow,GPE
8445,some years,DATE
8446,Soviets,NORP
8447,Krasnoyarsk,GPE
8448,ABM,LAW
8449,a few years ago,DATE
8450,several years,DATE
8451,ABM,LAW
8452,6 months ',DATE
8453,Iceland,GPE
8454,second,ORDINAL
8455,first,ORDINAL
8456,the months,DATE
8457,Soviets,NORP
8458,Geneva,GPE
8459,Saturday,DATE
8460,Sunday,DATE
8461,General,ORG
8462,Gorbachev,PERSON
8463,Shevardnadze,PERSON
8464,State,ORG
8465,George Shultz,PERSON
8466,nearly 10 hours,TIME
8467,Soviets,NORP
8468,Russia,GPE
8469,the Soviet Union,GPE
8470,Helsinki,PERSON
8471,1975,DATE
8472,Yuriy Orlov,PERSON
8473,Afghanistan,GPE
8474,Angola,GPE
8475,Nicaragua,GPE
8476,Cambodia,GPE
8477,Europe,LOC
8478,Asia,LOC
8479,zero,CARDINAL
8480,Soviet,NORP
8481,World War I.,EVENT
8482,ABM,ORG
8483,a number of years,DATE
8484,the day,DATE
8485,Shultz,PERSON
8486,the night,TIME
8487,6:30,TIME
8488,"Yesterday,",DATE
8489,Sunday,DATE
8490,morning,TIME
8491,Gorbachev,PERSON
8492,two,CARDINAL
8493,Soviets,NORP
8494,10-year,DATE
8495,10-year,DATE
8496,50 percent,PERCENT
8497,the first five years,DATE
8498,the next five years,DATE
8499,ABM,LAW
8500,10-year,DATE
8501,Soviets,NORP
8502,the entire 10 years,DATE
8503,American,NORP
8504,two,CARDINAL
8505,1,CARDINAL
8506,Iceland,GPE
8507,Soviets,NORP
8508,the earliest days,DATE
8509,Soviets,NORP
8510,American,NORP
8511,Afghanistan,GPE
8512,Nicaragua,GPE
8513,Angola,GPE
8514,Cambodia,GPE
8515,Soviets,NORP
8516,Soviets,NORP
8517,one,CARDINAL
8518,Iceland,GPE
8519,first,ORDINAL
8520,Soviet-American,NORP
8521,Iceland,GPE
8522,one,CARDINAL
8523,Kennedy,PERSON
8524,the United States,GPE
8525,the Soviet Union,GPE
8526,the United States,GPE
8527,Gorbachev,PERSON
8528,Reykjavik,GPE
8529,Geneva,GPE
8530,Americans,NORP
8531,Soviet,NORP
8532,Missouri,GPE
8533,Iceland,GPE
8534,the Soviet Union,GPE
8535,America,GPE
8536,American,NORP
8537,Soviet,NORP
8538,Afghanistan,GPE
8539,Central America,LOC
8540,Africa,LOC
8541,Southeast Asia,LOC
8542,Soviet,NORP
8543,fourth,ORDINAL
8544,Geneva,GPE
8545,last year,DATE
8546,Iceland,GPE
8547,The United States,GPE
8548,thousands,CARDINAL
8549,Iceland,GPE
8550,Americans,NORP
8551,tonight,TIME
8552,Gorbachev,PERSON
8553,America,GPE
8554,the Soviet Union,GPE
8555,Reykjavik,ORG
8556,America,GPE
8557,Soviets,NORP
8558,Soviets,NORP
8559,Geneva,GPE
8560,Iceland,GPE
8561,Soviets,NORP
8562,today,DATE
8563,Moscow,GPE
8564,the Soviet Union,GPE
8565,Gorbachev,PERSON
8566,Reykjavik,ORG
8567,the United States,GPE
8568,14-year-old,DATE
8569,ABM,LAW
8570,the Soviet Union,GPE
8571,the United States,GPE
8572,American,NORP
8573,the United States,GPE
8574,the Soviet Union,GPE
8575,Soviets,NORP
8576,America,GPE
8577,Soviet,NORP
8578,today,DATE
8579,Soviet,NORP
8580,the Soviet Union,GPE
8581,Americans,NORP
8582,Iceland,GPE
8583,Gorbachev,PERSON
8584,the United States,GPE
8585,Gorbachev,PERSON
8586,the United States,GPE
8587,last year,DATE
8588,Geneva,GPE
8589,tonight,TIME
8590,Soviets,NORP
8591,1,CARDINAL
8592,American,NORP
8593,the past five and a half years,DATE
8594,NATO,ORG
8595,American,NORP
8596,one,CARDINAL
8597,October,DATE
8598,Soviets,NORP
8599,Geneva,GPE
8600,Soviets,NORP
8601,Gorbachev,PERSON
8602,Iceland,GPE
8603,yesterday,DATE
8604,Keflavik,ORG
8605,Soviet,NORP
8606,America,GPE
8607,the United States,GPE
8608,America,GPE
8609,John Quincy Adams,PERSON
8610,Americans,NORP
8611,Harry Truman,PERSON
8612,our century,DATE
8613,two,CARDINAL
8614,Geneva,GPE
8615,a year ago,DATE
8616,Iceland,GPE
8617,last week,DATE
8618,the White House,ORG
8619,today,DATE
8620,one,CARDINAL
8621,American,NORP
8622,almost 3 years,DATE
8623,the Washington Post,ORG
8624,The Impossible Became the Inevitable,WORK_OF_ART
8625,America,GPE
8626,America,GPE
8627,American,NORP
8628,American,NORP
8629,nearly 11.7 million,CARDINAL
8630,just 46 months,DATE
8631,Fair,ORG
8632,Americans,NORP
8633,America,GPE
8634,the 21st century,DATE
8635,first,ORDINAL
8636,a Bill of Rights,LAW
8637,these United States of America,GPE
8638,first,ORDINAL
8639,1913,DATE
8640,only 7 percent,PERCENT
8641,"over $ 500,000",MONEY
8642,today,DATE
8643,as high as 90 percent,PERCENT
8644,un-American,NORP
8645,the last 20 years,DATE
8646,America,GPE
8647,the last 40 years,DATE
8648,America,GPE
8649,Americans,NORP
8650,American,NORP
8651,America,GPE
8652,Millions,CARDINAL
8653,1,CARDINAL
8654,1,CARDINAL
8655,today,DATE
8656,the United States,GPE
8657,American,NORP
8658,today,DATE
8659,Herculean,NORP
8660,Washington,GPE
8661,Congress,ORG
8662,Bob Packwood,PERSON
8663,Dan Rostenkowski,PERSON
8664,Russell Long,PERSON
8665,John Duncan,PERSON
8666,Bob Dole,PERSON
8667,Jack Kemp,PERSON
8668,Bob Kasten,PERSON
8669,Bill Bradley,PERSON
8670,Dick Gephardt,PERSON
8671,Senate,ORG
8672,House,ORG
8673,two,CARDINAL
8674,Treasury,ORG
8675,Don Regan,PERSON
8676,Jim Baker,PERSON
8677,the World Series,EVENT
8678,American,NORP
8679,Speaker,PERSON
8680,Congress,ORG
8681,the United States of America,GPE
8682,200th,ORDINAL
8683,Constitution,LAW
8684,Constitution,LAW
8685,each eventful day,DATE
8686,Philadelphia,GPE
8687,tonight,TIME
8688,days,DATE
8689,Philadelphia,GPE
8690,the spring of 1787,DATE
8691,Convention,LAW
8692,States,GPE
8693,Congress,ORG
8694,1,CARDINAL
8695,100th,ORDINAL
8696,Congress,ORG
8697,tonight,TIME
8698,House,ORG
8699,Jim Wright,PERSON
8700,Speaker,PERSON
8701,first,ORDINAL
8702,Congress,ORG
8703,32 years ago,DATE
8704,Texas,GPE
8705,Sam Rayburn,PERSON
8706,Sam,PERSON
8707,Eisenhower,PERSON
8708,Tonight,TIME
8709,Speaker,PERSON
8710,Senate,ORG
8711,Robert Byrd,PERSON
8712,34 years,DATE
8713,Congress,ORG
8714,Congress,ORG
8715,America,GPE
8716,Republican,NORP
8717,Bob Michel,PERSON
8718,Bob Dole,PERSON
8719,Congress,ORG
8720,Six years ago,DATE
8721,Congress,ORG
8722,America,GPE
8723,a quarter of a century,DATE
8724,the 21 1/2 percent,PERCENT
8725,the month,DATE
8726,7 1/2 percent,PERCENT
8727,today,DATE
8728,8 years,DATE
8729,nearly 7 years,DATE
8730,nearly 13 million,CARDINAL
8731,Over 61 percent,PERCENT
8732,the age of,DATE
8733,America,GPE
8734,America,GPE
8735,tonight,TIME
8736,these past years,DATE
8737,one,CARDINAL
8738,Iran,GPE
8739,Americans,NORP
8740,American,NORP
8741,the Middle East,LOC
8742,Congress,ORG
8743,America,GPE
8744,Earlier this month,DATE
8745,America,GPE
8746,the last decade,DATE
8747,1970,DATE
8748,Soviets,NORP
8749,$ 500 billion,MONEY
8750,today,DATE
8751,nearly 1,CARDINAL
8752,3,CARDINAL
8753,Soviet,NORP
8754,2 hours,TIME
8755,$ 75 billion,MONEY
8756,the past 5 years,DATE
8757,Syria,GPE
8758,Vietnam,GPE
8759,Cuba,GPE
8760,Libya,GPE
8761,Angola,GPE
8762,Ethiopia,GPE
8763,Afghanistan,GPE
8764,Nicaragua,GPE
8765,"120,000",CARDINAL
8766,Soviet,NORP
8767,"15,000",CARDINAL
8768,Asia,LOC
8769,Africa,LOC
8770,Latin America,LOC
8771,Congress,ORG
8772,1881,DATE
8773,21 percent,PERCENT
8774,this year,DATE
